lf2_over_Sfs,xm_over_lf,sqrt_h1_over_h2,h_over_wf,construction_y,construction_p,kn,outside_digitized_chart
2.5,0.1,0.8,0.5,3.0350223399610714,1.0512435711888304,0.0007132332850909589,False
2.5,0.1,0.8,0.6,3.0350223399610714,1.0512435711888304,0.00098910378492314,False
2.5,0.1,0.8,0.8,3.0350223399610714,1.0512435711888304,0.0013762178559441516,False
2.5,0.1,0.8,1.0,3.0350223399610714,1.0512435711888304,0.0017728344984896311,False
2.5,0.1,0.8,2.0,3.0350223399610714,1.0512435711888304,0.0020838293554406953,False
2.5,0.1,1.0,0.5,3.0350223399610714,1.105949832657366,0.0008554695649091514,False
2.5,0.1,1.0,0.6,3.0350223399610714,1.105949832657366,0.0011696344477693077,False
2.5,0.1,1.0,0.8,3.0350223399610714,1.105949832657366,0.0016497491632868296,False
2.5,0.1,1.0,1.0,3.0350223399610714,1.105949832657366,0.002118078929007142,False
2.5,0.1,1.0,2.0,3.0350223399610714,1.105949832657366,0.002472243811867298,False
2.5,0.1,1.2,0.5,3.0350223399610714,1.1683279538787708,0.001017652680084804,False
2.5,0.1,1.2,0.6,3.0350223399610714,1.1683279538787708,0.0013754822477999435,False
2.5,0.1,1.2,0.8,3.0350223399610714,1.1683279538787708,0.0019616397693938536,False
2.5,0.1,1.2,1.0,3.0350223399610714,1.1683279538787708,0.002517298904824133,False
2.5,0.1,1.2,2.0,3.0350223399610714,1.1683279538787708,0.0029151284725392724,False
2.5,0.1,1.4,0.5,3.0350223399610714,1.2317243726829405,0.0011888282435122337,False
2.5,0.1,1.4,0.6,3.0350223399610714,1.2317243726829405,0.001594207741658586,False
2.5,0.1,1.4,0.8,3.0350223399610714,1.2317243726829405,0.002278621863414703,False
2.5,0.1,1.4,1.0,3.0350223399610714,1.2317243726829405,0.0029135186733659376,False
2.5,0.1,1.4,2.0,3.0350223399610714,1.2317243726829405,0.0033969674187318186,False
2.5,0.1,1.6,0.5,3.0350223399610714,1.300828768970474,0.0013824863069114219,False
2.5,0.1,1.6,0.6,3.0350223399610714,1.300828768970474,0.0018433150758818961,False
2.5,0.1,1.6,0.8,3.0350223399610714,1.300828768970474,0.00262414384485237,False
2.5,0.1,1.6,1.0,3.0350223399610714,1.300828768970474,0.003335138367616939,False
2.5,0.1,1.6,2.0,3.0350223399610714,1.300828768970474,0.003957210290043124,False
2.5,0.2,0.8,0.5,3.369327594658479,1.0789178472399403,0.0007851864028238447,False
2.5,0.2,0.8,0.6,3.369327594658479,1.0789178472399403,0.0010804288958918028,False
2.5,0.2,0.8,0.8,3.369327594658479,1.0789178472399403,0.0015145892361997013,False
2.5,0.2,0.8,1.0,3.369327594658479,1.0789178472399403,0.0019471824376116236,False
2.5,0.2,0.8,2.0,3.369327594658479,1.0789178472399403,0.002280316715403576,False
2.5,0.2,1.0,0.5,3.369327594658479,1.1396499591389597,0.0009430898937612953,False
2.5,0.2,1.0,0.6,3.369327594658479,1.1396499591389597,0.001280844865158567,False
2.5,0.2,1.0,0.8,3.369327594658479,1.1396499591389597,0.0018182497956947983,False
2.5,0.2,1.0,1.0,3.369327594658479,1.1396499591389597,0.002333759738489342,False
2.5,0.2,1.0,2.0,3.369327594658479,1.1396499591389597,0.002711514709886614,False
