xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.2,2.5,1.4,0.5,0.002188909
0.2,2.5,1.4,0.6,0.002883049
0.2,2.5,1.4,0.8,0.003813829
0.2,2.5,1.4,1,0.004519801
0.2,2.5,1.4,2,0.005048294
0.2,2.5,1.6,0.5,0.002527469
0.2,2.5,1.6,0.6,0.003328973
0.2,2.5,1.6,0.8,0.004403716
0.2,2.5,1.6,1,0.005218882
0.2,2.5,1.6,2,0.005829118
0.2,4,0.8,0.5,0.000949532
0.2,4,0.8,0.6,0.001250645
0.2,4,0.8,0.8,0.001654409
0.2,4,0.8,1,0.001960655
0.2,4,0.8,2,0.002189911
0.2,4,1,0.5,0.001135367
0.2,4,1,0.6,0.001495412
0.2,4,1,0.8,0.001978199
0.2,4,1,1,0.00234438
0.2,4,1,2,0.002618505
0.2,4,1.2,0.5,0.001395475
0.2,4,1.2,0.6,0.001838003
0.2,4,1.2,0.8,0.002431394
0.2,4,1.2,1,0.002881466
0.2,4,1.2,2,0.003218392
0.2,4,1.4,0.5,0.001615715
0.2,4,1.4,0.6,0.002128086
0.2,4,1.4,0.8,0.002815129
0.2,4,1.4,1,0.003336234
0.2,4,1.4,2,0.003726334
0.2,4,1.6,0.5,0.001865619
0.2,4,1.6,0.6,0.002457239
0.2,4,1.6,0.8,0.003250547
0.2,4,1.6,1,0.003852251
0.2,4,1.6,2,0.004302689
0.2,6,0.8,0.5,0.000588838
0.2,6,0.8,0.6,0.000775569
0.2,6,0.8,0.8,0.001025958
0.2,6,0.8,1,0.001215872
0.2,6,0.8,2,0.001358042
0.2,6,1,0.5,0.000704082
0.2,6,1,0.6,0.000927358
0.2,6,1,0.8,0.001226751
0.2,6,1,1,0.001453833
0.2,6,1,2,0.001623828
0.2,6,1.2,0.5,0.000865383
0.2,6,1.2,0.6,0.001139811
0.2,6,1.2,0.8,0.001507794
0.2,6,1.2,1,0.0017869
0.2,6,1.2,2,0.001995839
0.2,6,1.4,0.5,0.001001962
0.2,6,1.4,0.6,0.001319702
0.2,6,1.4,0.8,0.001745761
0.2,6,1.4,1,0.002068917
0.2,6,1.4,2,0.002310832
0.2,6,1.6,0.5,0.001156937
0.2,6,1.6,0.6,0.001523821
0.2,6,1.6,0.8,0.00201578
0.2,6,1.6,1,0.002388918
0.2,6,1.6,2,0.00266825
0.2,8,0.8,0.5,0.000361955
0.2,8,0.8,0.6,0.000476737
0.2,8,0.8,0.8,0.000630649
0.2,8,0.8,1,0.000747387
0.2,8,0.8,2,0.000834778
0.2,8,1,0.5,0.000432794
0.2,8,1,0.6,0.00057004
0.2,8,1,0.8,0.000754075
0.2,8,1,1,0.000893661
0.2,8,1,2,0.000998155
0.2,8,1.2,0.5,0.000531945
0.2,8,1.2,0.6,0.000700634
0.2,8,1.2,0.8,0.00092683
0.2,8,1.2,1,0.001098394
0.2,8,1.2,2,0.001226828
0.2,8,1.4,0.5,0.000615899
0.2,8,1.4,0.6,0.000811211
0.2,8,1.4,0.8,0.001073107
0.2,8,1.4,1,0.001271748
0.2,8,1.4,2,0.001420451
0.2,8,1.6,0.5,0.00071116
0.2,8,1.6,0.6,0.000936682
0.2,8,1.6,0.8,0.001239085
0.2,8,1.6,1,0.00146845
0.2,8,1.6,2,0.001640154
0.2,14,0.8,0.5,8.99E-05
0.2,14,0.8,0.6,0.000118437
0.2,14,0.8,0.8,0.000156673
0.2,14,0.8,1,0.000185675
0.2,14,0.8,2,0.000207386
0.2,14,1,0.5,0.00010752
0.2,14,1,0.6,0.000141616
0.2,14,1,0.8,0.000187336
0.2,14,1,1,0.000222014
0.2,14,1,2,0.000247974
0.2,14,1.2,0.5,0.000132152
0.2,14,1.2,0.6,0.00017406
0.2,14,1.2,0.8,0.000230254
0.2,14,1.2,1,0.000272876
0.2,14,1.2,2,0.000304783
0.2,14,1.4,0.5,0.000153009
0.2,14,1.4,0.6,0.000201531
0.2,14,1.4,0.8,0.000266594
0.2,14,1.4,1,0.000315943
0.2,14,1.4,2,0.000352886
0.2,14,1.6,0.5,0.000176675
0.2,14,1.6,0.6,0.000232702
0.2,14,1.6,0.8,0.000307828
0.2,14,1.6,1,0.00036481
0.2,14,1.6,2,0.000407467
0.3,2.5,0.8,0.5,0.001420703
0.3,2.5,0.8,0.6,0.001871233
0.3,2.5,0.8,0.8,0.002475352
0.3,2.5,0.8,1,0.00293356
0.3,2.5,0.8,2,0.003276577
0.3,2.5,1,0.5,0.001698753
0.3,2.5,1,0.6,0.002237457
0.3,2.5,1,0.8,0.00295981
0.3,2.5,1,1,0.003507696
0.3,2.5,1,2,0.003917846
0.3,2.5,1.2,0.5,0.002087929
0.3,2.5,1.2,0.6,0.002750048
0.3,2.5,1.2,0.8,0.003637888
0.3,2.5,1.2,1,0.004311292
0.3,2.5,1.2,2,0.004815405
0.3,2.5,1.4,0.5,0.002417457
0.3,2.5,1.4,0.6,0.003184074
0.3,2.5,1.4,0.8,0.004212037
0.3,2.5,1.4,1,0.004991722
0.3,2.5,1.4,2,0.005575396
0.3,2.5,1.6,0.5,0.002791367
0.3,2.5,1.6,0.6,0.003676557
0.3,2.5,1.6,0.8,0.004863516
0.3,2.5,1.6,1,0.005763795
0.3,2.5,1.6,2,0.006437746
0.3,4,0.8,0.5,0.001070982
0.3,4,0.8,0.6,0.001410609
0.3,4,0.8,0.8,0.001866017
0.3,4,0.8,1,0.002211433
0.3,4,0.8,2,0.002470013
0.3,4,1,0.5,0.001280587
0.3,4,1,0.6,0.001686683
0.3,4,1,0.8,0.002231221
0.3,4,1,1,0.002644239
0.3,4,1,2,0.002953426
0.3,4,1.2,0.5,0.001573963
0.3,4,1.2,0.6,0.002073094
0.3,4,1.2,0.8,0.002742383
0.3,4,1.2,1,0.003250022
0.3,4,1.2,2,0.003630042
0.3,4,1.4,0.5,0.001822374
0.3,4,1.4,0.6,0.00240028
0.3,4,1.4,0.8,0.003175199
0.3,4,1.4,1,0.003762956
0.3,4,1.4,2,0.004202953
0.3,4,1.6,0.5,0.002104242
0.3,4,1.6,0.6,0.002771533
0.3,4,1.6,0.8,0.00366631
0.3,4,1.6,1,0.004344975
0.3,4,1.6,2,0.004853026
0.3,6,0.8,0.5,0.000708901
0.3,6,0.8,0.6,0.000933706
0.3,6,0.8,0.8,0.001235149
0.3,6,0.8,1,0.001463785
0.3,6,0.8,2,0.001634944
0.3,6,1,0.5,0.000847643
0.3,6,1,0.6,0.001116444
0.3,6,1,0.8,0.001476883
0.3,6,1,1,0.001750267
0.3,6,1,2,0.001954923
0.3,6,1.2,0.5,0.001041833
0.3,6,1.2,0.6,0.001372216
0.3,6,1.2,0.8,0.00181523
0.3,6,1.2,1,0.002151245
0.3,6,1.2,2,0.002402787
0.3,6,1.4,0.5,0.00120626
0.3,6,1.4,0.6,0.001588786
0.3,6,1.4,0.8,0.002101719
0.3,6,1.4,1,0.002490765
0.3,6,1.4,2,0.002782006
0.3,6,1.6,0.5,0.001392834
0.3,6,1.6,0.6,0.001834525
0.3,6,1.6,0.8,0.002426793
0.3,6,1.6,1,0.002876013
0.3,6,1.6,2,0.003212301
0.3,8,0.8,0.5,0.000476721
0.3,8,0.8,0.6,0.000627897
0.3,8,0.8,0.8,0.000830611
0.3,8,0.8,1,0.000984364
0.3,8,0.8,2,0.001099464
0.3,8,1,0.5,0.000570021
0.3,8,1,0.6,0.000750785
0.3,8,1,0.8,0.000993172
0.3,8,1,1,0.001177017
0.3,8,1,2,0.001314643
0.3,8,1.2,0.5,0.00070061
0.3,8,1.2,0.6,0.000922786
0.3,8,1.2,0.8,0.001220703
0.3,8,1.2,1,0.001446665
0.3,8,1.2,2,0.001615822
0.3,8,1.4,0.5,0.000811184
0.3,8,1.4,0.6,0.001068424
0.3,8,1.4,0.8,0.00141336
0.3,8,1.4,1,0.001674985
0.3,8,1.4,2,0.001870839
0.3,8,1.6,0.5,0.00093665
0.3,8,1.6,0.6,0.001233678
0.3,8,1.6,0.8,0.001631965
0.3,8,1.6,1,0.001934056
0.3,8,1.6,2,0.002160203
0.3,14,0.8,0.5,0.000208975
0.3,14,0.8,0.6,0.000275245
0.3,14,0.8,0.8,0.000364106
0.3,14,0.8,1,0.000431506
0.3,14,0.8,2,0.000481961
0.3,14,1,0.5,0.000249874
0.3,14,1,0.6,0.000329114
0.3,14,1,0.8,0.000435367
0.3,14,1,1,0.000515957
0.3,14,1,2,0.000576287
0.3,14,1.2,0.5,0.000307119
0.3,14,1.2,0.6,0.000404512
0.3,14,1.2,0.8,0.000535107
0.3,14,1.2,1,0.00063416
0.3,14,1.2,2,0.000708311
0.3,14,1.4,0.5,0.00035559
0.3,14,1.4,0.6,0.000468354
0.3,14,1.4,0.8,0.00061956
0.3,14,1.4,1,0.000734246
