k_Rl,Rlf_x1e_minus6,Rlf
1.0,1.1012397853,1101239.7853
1.1,1.7919534443,1791953.4443
1.2,2.9119973903,2911997.3903
1.3,4.7320080842,4732008.0842
1.4,7.7001656812,7700165.6812
1.5,12.5294827330,12529482.7330
1.6,20.3614713788,20361471.3788
1.7,33.0893767260,33089376.7260
1.8,53.8416358654,53841635.8654
1.9,87.6107884370,87610788.4370
2.0,142.3729011880,142372901.1880
2.1,231.3652475443,231365247.5443
2.2,376.4752438685,376475243.8685
